property_id,suburb,address,property_type,bedrooms,bathrooms,parking,land_size_sqm,building_size_sqm,sold_price,sold_date,sale_method,agency,distance_to_station_km,description,source_site,listing_url,date_collected,notes
C013,Chatswood,10 Ivy Street,House,5,3,2,665,400,4168000,23/03/2026,Private treaty,DiJones - Chatswood,,"Architect-designed and custom built, this immaculately renovated double-brick residence presents a refined statement…",domain.com.au,https://www.domain.com.au/10-ivy-street-chatswood-nsw-2067-2020581981,25/09/2026,
C014,Chatswood,112 Greville Street,House,3,2,2,443,,2530000,06/03/2026,,DiJones - Chatswood,,Discover an effortlessly stylish semi-detached home that marries classic charm with contemporary comforts…,domain.com.au,https://www.domain.com.au/112-greville-street-chatswood-nsw-2067-2020562017,25/09/2026,
C015,Chatswood,15 Royal Street,House,4,3,1,550,,3900000,20/02/2026,,DiJones - Chatswood,,Experience the blissful harmony of tranquil living meets unmatched convenience…,domain.com.au,https://www.domain.com.au/15-royal-street-chatswood-nsw-2067-2019456271,25/09/2026,
B001,Bondi,8/314 Bondi Road,Apartment,2,1,1,,,1800000,04/10/2025,Auction,PPD Real Estate,,Soak up the sunshine and secure your slice of Bondi paradise…,domain.com.au,https://www.domain.com.au/8-314-bondi-road-bondi-nsw-2026-2020265557,25/09/2026,
B002,Bondi,7/162 Bondi Road,Apartment,1,1,,,,650000,06/08/2026,Private treaty,Century 21 Bondi Junction,,"Perfectly positioned in the heart of Bondi, this renovated one-bedroom apartment…",domain.com.au,https://www.domain.com.au/7-162-bondi-road-bondi-nsw-2026-2021056607,25/09/2026,
B003,Bondi,1/13 Bennett Street,Apartment,2,1,1,,,1760000,08/09/2026,Auction,LJ Hooker Bondi Beach,,"Offering the scale, privacy and versatility of a semi, this oversized Art Deco residence…",domain.com.au,https://www.domain.com.au/1-13-bennett-street-bondi-nsw-2026-2021072983,25/09/2026,
B004,Bondi,6 Tasman Street,House,3,1,,,,4250000,14/10/2025,,PPD Real Estate,,"Classic at the front and contemporary at heart, 'Myall' blends Federation character…",domain.com.au,https://www.domain.com.au/6-tasman-street-bondi-nsw-2026-2020312414,25/09/2026,House - land size not recorded on listing.
B005,Bondi,3/38 Flood Street,Apartment,2,1,,,,1010000,06/08/2026,Auction,Raine & Horne Double Bay,,Quietly set to the rear of a secure Art Deco block of twelve…,domain.com.au,https://www.domain.com.au/3-38-flood-street-bondi-nsw-2026-2021020659,25/09/2026,
B006,Bondi,29/41-47 Ocean Street North,Apartment,2,1,1,,,1330000,06/07/2026,,Invest Realty,,"Positioned on the top floor of a secure, well-maintained complex…",domain.com.au,https://www.domain.com.au/29-41-47-ocean-street-north-bondi-nsw-2026-2020906830,25/09/2026,
B007,Bondi,7/17 Ocean Street North,Apartment,1,1,,,,946000,18/06/2026,Auction,Raine & Horne Double Bay,,"Impressive in scale and brimming with character, this beautifully presented apartment…",domain.com.au,https://www.domain.com.au/7-17-ocean-street-north-bondi-nsw-2026-2020888336,25/09/2026,
B008,Bondi,6 Miller Street,House,3,2,3,230,,3500000,15/08/2026,Auction,McGrath Double Bay,,Placed on a dual access block of approx. 230sqm amid leafy surrounds…,domain.com.au,https://www.domain.com.au/6-miller-street-bondi-nsw-2026-2021001846,25/09/2026,Land 230 m2 taken from listing description.
B009,Bondi,6101/32 Wellington Street,Apartment,1,1,,,,1280000,11/05/2026,,McGrath Double Bay,,"Placed among park like grounds, this fabulous apartment promises the finest standards…",domain.com.au,https://www.domain.com.au/6101-32-wellington-street-bondi-nsw-2026-2020778427,25/09/2026,
B010,Bondi,17/66 Penkivil Street,Apartment,2,1,1,,,1351000,29/10/2025,Private treaty,McGrath Double Bay,,Quietly nestled amongst the trees at the rear of a boutique building…,domain.com.au,https://www.domain.com.au/17-66-penkivil-street-bondi-nsw-2026-2020280438,25/09/2026,
B011,Bondi,12/15-17 Denham Street,Apartment,2,1,1,,,1368000,09/08/2025,Auction,McGrath Double Bay,,Brilliantly positioned on the north eastern corner of a boutique building…,domain.com.au,https://www.domain.com.au/12-15-17-denham-street-bondi-nsw-2026-2020119896,25/09/2026,
P010,Parramatta,1404/1-3 Valentine Avenue,Apartment,1,1,,,,320000,11/09/2026,Private treaty,Sydney Cove Property,,Presenting a fantastic opportunity to secure a set and forget investment with…,domain.com.au,https://www.domain.com.au/1404-1-3-valentine-avenue-parramatta-nsw-2150-2021149469,25/09/2026,Very low price - small investment/serviced apartment.
P011,Parramatta,8/64-66 Great Western Highway,Apartment,1,1,1,,,425000,04/09/2026,Private treaty,Ray White Parramatta/Oatlands/Northmead,,We've been overwhelmed by the amount of interest in similar properties…,domain.com.au,https://www.domain.com.au/8-64-66-great-western-highway-parramatta-nsw-2150-2021071261,25/09/2026,Description is agency boilerplate text.
P012,Parramatta,404/23 Hassall Street,Apartment,2,2,1,,124,680000,04/08/2026,Private treaty,Ray White Parramatta/Oatlands/Northmead,,We've been overwhelmed by the amount of interest in similar properties…,domain.com.au,https://www.domain.com.au/404-23-hassall-street-parramatta-nsw-2150-2020835264,25/09/2026,Description is agency boilerplate text.
P013,Parramatta,3001/11 Hassall St,Apartment,2,2,1,,,740000,02/08/2026,Private treaty,Sydney Sotheby's International Realty,,Situated in Sydney's second largest CBD: you will find this north-facing contemporary…,domain.com.au,https://www.domain.com.au/3001-11-hassall-st-parramatta-nsw-2150-2020891660,25/09/2026,
P014,Parramatta,6901/1A Morton Street,Apartment,2,2,1,,113,688000,31/07/2026,Private treaty,Ray White Parramatta/Oatlands/Northmead,,We've been overwhelmed by the amount of interest in similar properties…,domain.com.au,https://www.domain.com.au/6901-1a-morton-street-parramatta-nsw-2150-2021040081,25/09/2026,Description is agency boilerplate text.
P015,Parramatta,1/6 Sorrell St,Apartment,3,2,2,,157,805000,31/07/2026,Private treaty,Raine & Horne Carlingford / Epping,,"Positioned in one of Parramatta's most convenient lifestyle pockets, this…",domain.com.au,https://www.domain.com.au/1-6-sorrell-st-parramatta-nsw-2150-2021075068,25/09/2026,
P016,Parramatta,12/37 Fennell Street,Apartment,3,1,1,,,695000,31/07/2026,Private treaty,Belle Property Parramatta | Beecroft | Carlingford | Epping,,Positioned in one of Parramatta's most convenient and highly sought-after…,domain.com.au,https://www.domain.com.au/12-37-fennell-street-parramatta-nsw-2150-2020705495,25/09/2026,
P017,Parramatta,4/13 Henry Street,Apartment,2,1,1,,,580000,30/07/2026,Auction,Belle Property Parramatta | Beecroft | Carlingford | Epping,,Positioned in a quiet cul-de-sac within a tightly held full brick complex…,domain.com.au,https://www.domain.com.au/4-13-henry-street-parramatta-nsw-2150-2020955697,25/09/2026,
P018,Parramatta,1601/45 Macquarie Street,Apartment,1,1,1,,80,572000,29/07/2026,Private treaty,Ray White Parramatta/Oatlands/Northmead,,We've been overwhelmed by the amount of interest in similar properties…,domain.com.au,https://www.domain.com.au/1601-45-macquarie-street-parramatta-nsw-2150-2020632015,25/09/2026,Description is agency boilerplate text.
P019,Parramatta,34/105-107 Church Street,Apartment,2,2,1,,,625000,28/07/2026,Private treaty,Ray White Parramatta/Oatlands/Northmead,,We've been overwhelmed by the amount of interest in similar properties…,domain.com.au,https://www.domain.com.au/34-105-107-church-street-parramatta-nsw-2150-2020995456,25/09/2026,Description is agency boilerplate text.
P020,Parramatta,3/22-24 Thomas Street,Apartment,2,1,2,,122,667000,27/07/2026,Private treaty,Starr Partners Parramatta,,"Positioned in one of Parramatta's most tightly held riverside pockets, this beautifully…",domain.com.au,https://www.domain.com.au/3-22-24-thomas-street-parramatta-nsw-2150-2020980900,25/09/2026,
P021,Parramatta,1330K/2 Morton Street,Apartment,2,2,1,,,740000,25/07/2026,Auction,Ray White Parramatta/Oatlands/Northmead,,We've been overwhelmed by the amount of interest in similar properties…,domain.com.au,https://www.domain.com.au/1330k-2-morton-street-parramatta-nsw-2150-2020967484,25/09/2026,Floor area 12280 m2 removed - impossible for an apartment (likely whole-building or data-entry error). Description is agency boilerplate text.
